E,N
794549.771,7581118.759
794522.821,7581145.709
794175.881,7581263.599
794145.561,7581805.910
793879.461,7581866.540
793407.890,7582041.700
793077.780,7582186.540
792404.110,7582260.641
792515.260,7582887.161
792232.320,7582920.851
791329.589,7582994.952
791181.759,7583008.402
791171.759,7583127.402
791019.359,7583060.192
790812.399,7582988.322
790657.459,7584407.913
790710.579,7584415.113
790602.929,7584703.603
790644.249,7584743.943
789136.728,7584823.904
788928.628,7584808.994
788702.828,7584747.074
788715.028,7584806.064
788892.653,7584939.479
788402.611,7585482.380
788435.360,7585522.048
788214.976,7586182.502
788530.718,7586176.245
788385.618,7586397.036
787819.268,7586572.876
787577.857,7586542.976
787307.657,7586571.776
786636.447,7586638.016
786477.137,7586979.287
786315.727,7587349.227
785832.826,7587294.797
785670.536,7588024.338
785667.626,7588336.288
784594.956,7588203.988
784890.626,7589006.679
785100.226,7589568.939
785345.747,7589638.789
784455.316,7590399.890
784350.956,7590279.960
784252.436,7590364.470
784294.196,7590411.290
784284.056,7590419.680
783284.125,7590088.210
783331.195,7590574.551
783984.956,7591266.331
785667.717,7589730.389
785761.357,7589663.999
786084.4170,7589697.669
786683.248,7589773.369
786582.038,7591253.200
786542.5880,7591657.590
786696.299,7591935.641
786978.559,7592438.061
786997.509,7592531.201
786822.609,7592675.031
786989.849,7592861.451
787056.319,7592830.011
787131.079,7593188.141
787672.670,7593485.181
788040.350,7593688.802
787413.010,7594776.733
786849.580,7595769.424
786796.470,7595859.714
786849.580,7595865.024
786900.040,7596138.554
786945.190,7596351.004
787043.021,7596595.094
787104.531,7596802.464
787117.801,7596929.934
787107.181,7597054.745
787554.281,7597739.065
787744.532,7597723.965
788868.892,7596864.184
789052.342,7596792.804
789366.743,7597103.894
789460.783,7597098.224
789428.943,7597153.944
789540.393,7597225.594
789592.133,7597241.514
789822.983,7597758.934
789970.243,7597452.454
790010.043,7597301.214
790077.713,7597161.904
790097.613,7597066.383
789527.783,7596594.803
790450.913,7596153.183
791056.344,7595862.632
791356.794,7595794.492
791725.374,7595809.972
791979.354,7595909.092
792293.245,7596112.242
792848.725,7596516.812
793168.876,7596617.522
793475.616,7596625.742
794059.816,7596447.281
794569.297,7596257.451
794798.447,7596075.251
794903.247,7595890.501
795017.857,7595394.930
795085.997,7595243.160
795209.887,7595094.490
796382.777,7594070.359
796631.327,7594002.079
796733.807,7593914.308
796789.517,7593787.628
796795.377,7593611.858
796804.757,7593354.058
796816.467,7593328.278
796841.077,7593301.328
796985.217,7593229.848
797001.897,7593210.998
797006.257,7593173.568
796994.037,7592625.817
797251.557,7592211.617
797389.107,7592029.237
797708.697,7591866.176
797732.197,7591844.416
797752.217,7591803.506
797765.267,7591552.816
797782.677,7591383.956
797829.687,7591288.206
799333.608,7589750.474
799657.768,7589412.814
799761.318,7589246.224
799819.848,7589124.663
799979.678,7587436.342
799981.927,7587337.292
799923.647,7587217.812
799577.377,7586458.051
799379.966,7586063.631
799163.826,7585612.761
799166.146,7584968.990
799207.986,7584371.700
799300.946,7583711.669
798613.015,7582912.179
798321.104,7582565.399
798286.004,7582491.689
797583.953,7581930.049
797152.193,7581894.949
796874.893,7581747.519
796646.723,7581428.089
795978.782,7581198.559
795870.182,7581172.649
794906.821,7581128.859
794549.771,7581118.759
